_id,location,name_pollutant_substance,measurement_results,period,maximum_permissible_concentration,deviation
131,проспект Чорновола В. – вул. Городоцька,азоту діоксид,0.209,2019-03-31T00:00:00,0.2,0.01
132,проспект Чорновола В. – вул. Городоцька,ангідрид сірчистий,0.126,2019-03-31T00:00:00,0.5,-0.37
133,проспект Чорновола В. – вул. Городоцька,вуглецю оксид,6.25,2019-06-30T00:00:00,5,1.25
134,проспект Чорновола В. – вул. Городоцька,азоту оксид,0.208,2019-06-30T00:00:00,0.4,-0.19
135,проспект Чорновола В. – вул. Городоцька,азоту діоксид,0.227,2019-06-30T00:00:00,0.2,0.03
136,проспект Чорновола В. – вул. Городоцька,ангідрид сірчистий,0.131,2019-06-30T00:00:00,0.5,-0.37
137,проспект Чорновола В. – вул. Городоцька,вуглецю оксид,7.73,2019-09-30T00:00:00,5,2.73
138,проспект Чорновола В. – вул. Городоцька,азоту оксид,0.254,2019-09-30T00:00:00,0.4,-0.15
139,проспект Чорновола В. – вул. Городоцька,азоту діоксид,0.262,2019-09-30T00:00:00,0.2,0.06
140,проспект Чорновола В. – вул. Городоцька,ангідрид сірчистий,0.134,2019-09-30T00:00:00,0.5,-0.37
141,проспект Чорновола В. – вул. Городоцька,вуглецю оксид,9.78,2019-12-31T00:00:00,5,4.78
142,проспект Чорновола В. – вул. Городоцька,азоту оксид,0.268,2019-12-31T00:00:00,0.4,-0.13
143,проспект Чорновола В. – вул. Городоцька,азоту діоксид,0.301,2019-12-31T00:00:00,0.2,0.1
144,проспект Чорновола В. – вул. Городоцька,ангідрид сірчистий,0.208,2019-12-31T00:00:00,0.5,-0.29
145,проспект Свободи – вул. Дорошенка П.,вуглецю оксид,6.3,2011-03-31T00:00:00,5,1.3
146,проспект Свободи – вул. Дорошенка П.,азоту оксид,0.156,2011-03-31T00:00:00,0.4,-0.24
147,проспект Свободи – вул. Дорошенка П.,азоту діоксид,0.124,2011-03-31T00:00:00,0.2,-0.08
148,проспект Свободи – вул. Дорошенка П.,ангідрид сірчистий,0.031,2011-03-31T00:00:00,0.5,-0.47
149,проспект Свободи – вул. Дорошенка П.,вуглецю оксид,5.75,2011-06-30T00:00:00,5,0.75
150,проспект Свободи – вул. Дорошенка П.,азоту оксид,0.132,2011-06-30T00:00:00,0.4,-0.27
151,проспект Свободи – вул. Дорошенка П.,азоту діоксид,0.105,2011-06-30T00:00:00,0.2,-0.1
152,проспект Свободи – вул. Дорошенка П.,ангідрид сірчистий,0.055,2011-06-30T00:00:00,0.5,-0.45
153,проспект Свободи – вул. Дорошенка П.,вуглецю оксид,9.55,2011-09-30T00:00:00,5,4.55
154,проспект Свободи – вул. Дорошенка П.,азоту оксид,0.25,2011-09-30T00:00:00,0.4,-0.15
155,проспект Свободи – вул. Дорошенка П.,азоту діоксид,0.206,2011-09-30T00:00:00,0.2,0.01
156,проспект Свободи – вул. Дорошенка П.,ангідрид сірчистий,0.051,2011-09-30T00:00:00,0.5,-0.45
157,проспект Свободи – вул. Дорошенка П.,вуглецю оксид,8.88,2011-12-31T00:00:00,5,3.88
158,проспект Свободи – вул. Дорошенка П.,азоту оксид,0.185,2011-12-31T00:00:00,0.4,-0.22
159,проспект Свободи – вул. Дорошенка П.,азоту діоксид,0.162,2011-12-31T00:00:00,0.2,-0.04
160,проспект Свободи – вул. Дорошенка П.,ангідрид сірчистий,0.045,2011-12-31T00:00:00,0.5,-0.46
161,проспект Свободи – вул. Дорошенка П.,вуглецю оксид,7.56,2012-03-31T00:00:00,5,2.56
162,проспект Свободи – вул. Дорошенка П.,азоту оксид,0.161,2012-03-31T00:00:00,0.4,-0.24
163,проспект Свободи – вул. Дорошенка П.,азоту діоксид,0.153,2012-03-31T00:00:00,0.2,-0.05
164,проспект Свободи – вул. Дорошенка П.,ангідрид сірчистий,0.033,2012-03-31T00:00:00,0.5,-0.47
165,проспект Свободи – вул. Дорошенка П.,вуглецю оксид,8.05,2012-06-30T00:00:00,5,3.05
166,проспект Свободи – вул. Дорошенка П.,азоту оксид,0.132,2012-06-30T00:00:00,0.4,-0.27
167,проспект Свободи – вул. Дорошенка П.,азоту діоксид,0.145,2012-06-30T00:00:00,0.2,-0.06
168,проспект Свободи – вул. Дорошенка П.,ангідрид сірчистий,0.048,2012-06-30T00:00:00,0.5,-0.45
169,проспект Свободи – вул. Дорошенка П.,вуглецю оксид,7.65,2012-09-30T00:00:00,5,2.65
170,проспект Свободи – вул. Дорошенка П.,азоту оксид,0.129,2012-09-30T00:00:00,0.4,-0.27
171,проспект Свободи – вул. Дорошенка П.,азоту діоксид,0.164,2012-09-30T00:00:00,0.2,-0.04
172,проспект Свободи – вул. Дорошенка П.,ангідрид сірчистий,0.099,2012-09-30T00:00:00,0.5,-0.4
173,проспект Свободи – вул. Дорошенка П.,вуглецю оксид,7.13,2012-12-31T00:00:00,5,2.13
174,проспект Свободи – вул. Дорошенка П.,азоту оксид,0.132,2012-12-31T00:00:00,0.4,-0.27
175,проспект Свободи – вул. Дорошенка П.,азоту діоксид,0.152,2012-12-31T00:00:00,0.2,-0.05
176,проспект Свободи – вул. Дорошенка П.,ангідрид сірчистий,0.115,2012-12-31T00:00:00,0.5,-0.39
177,проспект Свободи – вул. Дорошенка П.,вуглецю оксид,6.91,2013-03-31T00:00:00,5,1.91
178,проспект Свободи – вул. Дорошенка П.,азоту оксид,0.201,2013-03-31T00:00:00,0.4,-0.2
179,проспект Свободи – вул. Дорошенка П.,азоту діоксид,0.265,2013-03-31T00:00:00,0.2,0.07
180,проспект Свободи – вул. Дорошенка П.,ангідрид сірчистий,0.057,2013-03-31T00:00:00,0.5,-0.44
181,проспект Свободи – вул. Дорошенка П.,вуглецю оксид,8.06,2013-06-30T00:00:00,5,3.06
182,проспект Свободи – вул. Дорошенка П.,азоту оксид,0.226,2013-06-30T00:00:00,0.4,-0.17
183,проспект Свободи – вул. Дорошенка П.,азоту діоксид,0.228,2013-06-30T00:00:00,0.2,0.03
184,проспект Свободи – вул. Дорошенка П.,ангідрид сірчистий,0.068,2013-06-30T00:00:00,0.5,-0.43
185,проспект Свободи – вул. Дорошенка П.,вуглецю оксид,9.24,2013-09-30T00:00:00,5,4.24
186,проспект Свободи – вул. Дорошенка П.,азоту оксид,0.363,2013-09-30T00:00:00,0.4,-0.04
187,проспект Свободи – вул. Дорошенка П.,азоту діоксид,0.389,2013-09-30T00:00:00,0.2,0.19
188,проспект Свободи – вул. Дорошенка П.,ангідрид сірчистий,0.1,2013-09-30T00:00:00,0.5,-0.4
189,проспект Свободи – вул. Дорошенка П.,вуглецю оксид,10.01,2013-12-31T00:00:00,5,5.01
190,проспект Свободи – вул. Дорошенка П.,азоту оксид,0.419,2013-12-31T00:00:00,0.4,0.02
191,проспект Свободи – вул. Дорошенка П.,азоту діоксид,0.489,2013-12-31T00:00:00,0.2,0.29
192,проспект Свободи – вул. Дорошенка П.,ангідрид сірчистий,0.125,2013-12-31T00:00:00,0.5,-0.38
193,проспект Свободи – вул. Дорошенка П.,вуглецю оксид,7.24,2014-03-31T00:00:00,5,2.24
194,проспект Свободи – вул. Дорошенка П.,азоту оксид,0.207,2014-03-31T00:00:00,0.4,-0.19
195,проспект Свободи – вул. Дорошенка П.,азоту діоксид,0.234,2014-03-31T00:00:00,0.2,0.03
196,проспект Свободи – вул. Дорошенка П.,ангідрид сірчистий,0.069,2014-03-31T00:00:00,0.5,-0.43
197,проспект Свободи – вул. Дорошенка П.,вуглецю оксид,6.9,2014-06-30T00:00:00,5,1.9
